"col","row","code","name","name_indo"
1,1,"AC","Aceh","Aceh"
1,2,"SU","North Sumatra","Sumatera Utara"
1,3,"SB","West Sumatra","Sumatera Barat"
2,3,"RI","Riau","Riau"
2,4,"JA","Jambi","Jambi"
2,5,"BE","Bengkulu","Bengkulu"
3,5,"SS","South Sumatra","Sumatera Selatan"
3,6,"LA","Lampung","Lampung"
4,3,"KR","Riau Islands","Kepulauan Riau"
5,5,"BB","Bangka Belitung","Bangka Belitung"
4,8,"BT","Banten","Banten"
5,7,"JK","Jakarta","DKI Jakarta"
5,8,"JB","West Java","Jawa Barat"
6,8,"JT","Central Java","Jawa Tengah"
7,8,"JI","East Java","Jawa Timur"
6,9,"YO","Yogyakarta","DI Yogyakarta"
7,4,"KB","West Kalimantan","Kalimantan Barat"
7,5,"KT","Central Kalimantan","Kalimantan Tengah"
8,5,"KS","South Kalimantan","Kalimantan Selatan"
8,4,"KI","East Kalimantan","Kalimantan Timur"
8,3,"KU","North Kalimantan","Kalimantan Utara"
9,8,"BA","Bali","Bali"
11,8,"NB","West Nusa Tenggara","Nusa Tenggara Barat"
12,8,"NT","East Nusa Tenggara","Nusa Tenggara Timur"
13,5,"SG","Southeast Sulawesi","Sulawesi Tenggara"
12,5,"SN","South Sulawesi","Sulawesi Selatan"
11,5,"SR","West Sulawesi","Sulawesi Barat"
12,4,"ST","Central Sulawesi","Sulawesi Tengah"
12,3,"GO","Gorontalo","Gorontalo"
13,3,"SA","North Sulawesi","Sulawesi Utara"
15,3,"MU","North Maluku","Maluku Utara"
15,5,"MA","Maluku","Maluku"
17,5,"PB","West Papua","Papua Barat"
18,6,"PA","Papua","Papua"
14,1,NA,"dummy1","dummy1"
16,1,NA,"dummy2","dummy2"
